Ship_ID,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Ship_class,Ship_Speed,Ship_Fuel_Level,Ship_crew_count,Ship_Cargo_Weight,Ship_Humidity,Ship_Temperature,Ship_Engine_Status,Ship_activity_log,Ship_Energy_Consumption
13,0040_02,Europa,FALSE,D/2/P,TRAPPIST-1e,44,FALSE,0,1561,0,14,224,Jihda Pinoffent,377,372,93864,1294.65,1650,56,20.3,101.49,1696,617
14,0042_01,Mars,TRUE,E/0/P,TRAPPIST-1e,46,FALSE,0,0,0,0,0,Hamus Frité,376,373,91992,1272.55,1666,56,20.41,101.49,1679.9,649
15,0046_01,Earth,FALSE,G/4/P,TRAPPIST-1e,21,FALSE,0,0,0,1687,92,Neilda Powery,387,381,119943,1252.9,1730,56,20.41,101.48,1809.4,649
16,0046_02,Earth,FALSE,F/11/P,TRAPPIST-1e,27,FALSE,0,0,0,903,,Glene Powery,384,373,114524,1242.55,1877.5,56,20.41,101.48,1898,649
17,0046_03,Earth,FALSE,F/11/P,TRAPPIST-1e,20,FALSE,2,12,253,457,690,Joanny Powery,375,358,78013,1212.1,1821,56,20.61,101.48,1970,324
18,0047_01,Europa,TRUE,B/0/S,TRAPPIST-1e,44,FALSE,0,0,0,0,0,Winonon Prucerod,360,326,94657,1218.6,1847,56,20.81,101.48,1911,422
19,0047_02,Europa,FALSE,,TRAPPIST-1e,29,FALSE,0,7708,243,569,343,Muons Prucerod,329,289,91749,1187.3,1855,56,20.93,101.48,1923,422
20,0047_03,Europa,FALSE,B/0/S,TRAPPIST-1e,40,FALSE,26,1925,8,3144,63,,320,303,86420,1197.55,1890,56,21.06,101.48,1950,389
21,0048_01,Earth,FALSE,G/5/S,TRAPPIST-1e,30,FALSE,0,878,26,3,0,Tyle Deckerry,331,320,76254,1175.3,1950,56,21.18,101.47,2094.05,584
22,0049_01,Earth,FALSE,E/1/P,TRAPPIST-1e,14,FALSE,,0,0,1609,0,Doria Flynney,336,327,78389,1146.25,2211.6,56,21.3,101.47,2261.1,422
23,0054_01,Europa,TRUE,B/4/P,55 Cancri e,31,FALSE,0,0,0,0,0,Algedia Viouster,353,348,73995,1068.95,2149,56,21.35,101.46,2224,422
24,0054_02,Europa,FALSE,B/4/P,55 Cancri e,27,FALSE,0,6977,0,4,1235,Alteron Viouster,365,353,67533,1059.25,2105,56,21.4,101.46,2135,422
25,0054_03,Europa,FALSE,B/4/P,55 Cancri e,66,FALSE,39,6452,0,1409,155,Winon Viouster,361,356,77044,1018.1,2091.05,56,21.44,101.46,2130,454
26,0055_01,Earth,FALSE,G/5/P,TRAPPIST-1e,24,FALSE,1784,8,18,18,0,Brence Frederry,363,356,64665,995.35,2102,56,21.49,101.45,2200,454
27,0057_01,Europa,FALSE,C/1/P,55 Cancri e,19,FALSE,293,3495,5273,118,422,Gatrin Windend,378,369,75329,962.5,2149,56,21.56,101.44,2149.9,519
28,0059_01,Earth,TRUE,E/2/P,TRAPPIST-1e,36,FALSE,0,0,0,0,0,Janne Carvis,392,391,72108,971.25,2126,56,21.62,101.43,2145,487
29,0060_01,Earth,FALSE,F/12/P,TRAPPIST-1e,21,FALSE,0,619,12,3,0,Fanna Ashipeck,401,389,66052,955.4,2080,56,21.66,101.42,2099.95,454
30,0063_01,Earth,TRUE,G/8/S,55 Cancri e,18,FALSE,0,0,0,0,0,Elene Daughessey,395,373,65605,920.7,2062,56,21.69,101.41,2119,454
31,0065_01,Earth,TRUE,G/9/S,TRAPPIST-1e,26,FALSE,0,0,0,0,0,Monald Rushorney,383,375,61994,895.45,2000,56,21.48,101.4,2002,454
32,0075_01,Earth,FALSE,G/11/S,TRAPPIST-1e,19,FALSE,598,0,30,0,0,Shally Jimes,384,379,61136,893.65,2029,56,21.28,101.4,2060,531
33,0079_01,Earth,TRUE,G/12/S,TRAPPIST-1e,48,FALSE,0,0,0,0,0,Verney Sullones,391,386,63409,891.85,2095,56,21.3,101.39,2214.2,422
34,0080_01,Earth,FALSE,G/7/P,TRAPPIST-1e,23,FALSE,14,870,0,0,23,Wandy Llobsoney,389,378,55494,893.2,2391.35,56,21.32,101.38,2391.35,422
35,0083_01,Earth,FALSE,G/8/P,TRAPPIST-1e,24,FALSE,483,0,87,214,0,Lilasa Barris,382,381,46426,837.85,2410,56,21.28,101.38,2582.7,357
36,0087_01,Earth,FALSE,E/3/P,TRAPPIST-1e,19,FALSE,0,20,135,265,367,Meremy Jarvey,386,382,46014,860.45,2475,56,21.24,101.37,2646.05,357
37,0089_01,Mars,TRUE,F/19/S,TRAPPIST-1e,24,FALSE,0,0,0,0,0,Ors Cha,383,356,28664,847.8,2551.05,56,21.2,101.36,2572.1,487
38,0093_01,Earth,FALSE,G/10/P,TRAPPIST-1e,27,FALSE,66,1736,0,0,15,Krisa Dukertyler,359,353,44070,858.85,2550,56,21.16,101.36,2791.6,487
39,0094_01,Earth,TRUE,G/17/S,TRAPPIST-1e,6,FALSE,,0,0,0,0,Jaye Santantines,359,343,20230,838.6,2621,56,21.13,101.35,2684.95,519
40,0094_02,Earth,FALSE,F/21/S,TRAPPIST-1e,33,FALSE,0,0,0,866,0,Terta Santantines,347,344,38559,821.75,2575,56,21.09,101.35,2877.2,422
41,0095_01,Earth,FALSE,F/18/P,PSO J318.5-22,23,FALSE,0,0,1235,0,0,Toddie Benderez,355,350,28754,826.65,2647,56,21.1,101.35,2647,422
42,0096_01,Earth,FALSE,F/22/S,PSO J318.5-22,30,FALSE,1,0,1585,0,484,Leenny Swanardy,353,353,27893,822.45,2452,56,21.11,101.34,2477.25,422
43,0100_01,Earth,FALSE,G/13/P,TRAPPIST-1e,,,0,17,997,0,0,Dary Cochrisons,357,335,23641,825.8,2421,56,21.12,101.34,2507,519
44,0100_02,Earth,FALSE,G/13/P,TRAPPIST-1e,1,FALSE,0,0,0,0,0,Mael Cochrisons,336,335,15506,797.15,2301.15,56,21.13,101.34,2301.15,747
45,0104_01,Earth,FALSE,F/25/S,TRAPPIST-1e,20,FALSE,1,0,0,599,0,Alene Rochan,345,337,22178,797.65,2117.1,56,20.94,101.34,2117.1,422
46,0106_01,Earth,TRUE,F/26/S,TRAPPIST-1e,17,FALSE,0,0,0,0,0,Therly Puckenton,339,321,1000,822.1,1947.75,56,20.76,101.34,2100,454
47,0109_01,Earth,FALSE,F/22/P,TRAPPIST-1e,34,FALSE,0,0,39,1,556,Tonald Wolferton,326,321,1315,811.55,601,56,20.56,101.34,650,1072
48,0117_01,Earth,FALSE,E/4/P,PSO J318.5-22,24,FALSE,0,22,82,0,686,Megany Ewiseston,326,325,0,805.1,640,56,20.36,101.34,656.95,389
49,0118_01,Earth,FALSE,G/14/P,TRAPPIST-1e,29,FALSE,14,869,,1,0,Troyce Moodmandez,327,325,542,869.55,632,56,20.15,101.33,641.05,649
50,0121_01,Earth,FALSE,F/26/P,TRAPPIST-1e,20,FALSE,1037,1,2,0,1576,Kendy Mayson,331,331,0,935.9,650.05,56,19.95,101.33,669,584
51,0124_01,Earth,TRUE,G/15/P,55 Cancri e,5,FALSE,0,0,0,0,0,Karay Camerrison,339,338,87151,947.55,666,56,19.71,101.34,721.3,584
52,0125_01,Europa,TRUE,B/6/P,55 Cancri e,22,FALSE,0,0,0,0,0,Saiphda Fulatorly,350,342,38772,902.85,721,56,19.47,101.34,739,584
53,0125_02,Europa,FALSE,B/6/P,TRAPPIST-1e,16,FALSE,3966,2872,0,0,2458,Hadira Fulatorly,342,342,89939,924.25,721,56,19.32,101.34,764.9,454
54,0130_01,Earth,TRUE,G/16/P,55 Cancri e,7,FALSE,0,0,0,0,0,Catha Gilesonston,345,344,65485,910.7,757,56,19.18,101.34,805,1429
55,0131_01,Earth,FALSE,F/28/S,55 Cancri e,36,FALSE,0,0,571,36,0,Vine Simstravery,362,358,47724,901.7,735,56,19.21,101.34,735,1494
56,0132_01,Mars,FALSE,D/4/S,55 Cancri e,26,FALSE,46,315,2305,0,97,Stech Potte,366,364,30744,973.85,686,56,19.24,101.34,720.05,1202
57,0135_01,Earth,FALSE,F/28/P,TRAPPIST-1e,40,FALSE,413,514,1,0,0,Rica Hammonton,368,368,76381,1051.8,715,56,19.17,101.34,734.2,389
58,0137_01,Earth,TRUE,G/24/S,TRAPPIST-1e,29,FALSE,0,0,0,0,0,Jilley Harry,427,401,143923,1087.95,674.75,56,19.1,101.33,679,454
59,0142_01,Mars,TRUE,F/30/S,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Oakes Buth,418,385,27280,1000.95,621,56,19.02,101.33,622,422
60,0142_02,Mars,FALSE,F/30/S,TRAPPIST-1e,23,FALSE,378,402,0,0,509,Swafox Buth,400,371,141092,986.55,580,56,18.93,101.33,585,422
61,0142_03,Mars,FALSE,F/30/S,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Gacke Buth,375,375,128338,944.35,570,56,18.74,101.33,617,422
62,0143_01,Europa,FALSE,C/2/P,55 Cancri e,30,FALSE,0,8853,6108,29,3523,Alaton Unloweedic,388,378,76660,936,590,56,18.55,101.33,640,552
63,0145_01,Earth,FALSE,E/6/P,TRAPPIST-1e,56,FALSE,0,44,23,723,0,Arlie Hodes,388,371,43088,970.4,582.5,56,18.63,101.33,586,942
64,0150_01,Europa,TRUE,B/7/P,TRAPPIST-1e,36,FALSE,0,0,0,0,0,Menkaa Slowatic,374,374,60955,999.05,539.5,56,18.71,101.33,539.5,487
65,0150_02,Europa,TRUE,B/7/P,TRAPPIST-1e,56,FALSE,0,0,0,0,0,Wasalm Slowatic,380,357,12052,947.5,515,56,18.87,101.34,569,292
66,0153_01,Earth,FALSE,F/32/S,TRAPPIST-1e,19,FALSE,32,0,521,0,223,Wandy Meleon,358,344,126549,952.15,520.8,56,19.03,101.34,532.1,357
67,0154_01,Earth,TRUE,G/21/P,PSO J318.5-22,39,FALSE,0,0,0,0,0,Dorah Brenney,352,351,22986,932.35,550,56,19.02,101.34,580.45,357
68,0155_01,Mars,FALSE,F/33/P,TRAPPIST-1e,38,FALSE,2,26,148,1213,0,Ritars Harta,353,353,150633,1006.95,612.05,56,19,101.35,626.9,357
69,0156_01,Mars,,F/34/P,TRAPPIST-1e,,FALSE,0,0,0,0,0,Tures Upead,367,367,53116,1043.9,580.3,56,19.04,101.35,600,292
70,0157_01,Europa,FALSE,A/1/P,TRAPPIST-1e,35,FALSE,0,463,0,1502,585,Dabit Fulazy,377,375,157923,1000.9,597,56,19.07,101.35,602,292
71,0158_01,Earth,FALSE,E/9/S,55 Cancri e,26,FALSE,832,0,0,21,136,Dawne Jacobbinson,376,366,39157,962.9,571.15,56,19.11,101.35,585,292
72,0158_02,Earth,FALSE,F/33/S,TRAPPIST-1e,31,FALSE,0,0,705,0,0,Nelle Jacobbinson,371,368,111768,925.85,532.4,56,19.11,101.35,532.4,292
73,0159_01,Earth,FALSE,F/34/S,TRAPPIST-1e,38,FALSE,0,3,0,756,0,Vanie Irwines,369,358,65903,908.25,505.05,56,19.1,101.36,540,292
74,0161_01,Earth,FALSE,F/35/P,55 Cancri e,27,FALSE,,11,0,0,1172,Adamy Donson,376,372,85800,906.45,501,56,19.1,101.36,501,519
75,0162_01,Mars,TRUE,F/36/P,55 Cancri e,30,FALSE,0,0,0,0,0,Lix Ble,376,373,139796,854.65,460.95,56,19.1,101.37,497,1072
76,0166_01,Earth,FALSE,G/29/S,TRAPPIST-1e,22,FALSE,0,772,0,0,0,Essara Rocholton,378,377,13947,896,462.05,56,18.87,101.37,470,1072
77,0168_01,Europa,TRUE,C/7/S,TRAPPIST-1e,29,FALSE,0,0,0,0,0,Saxinon Oradly,379,378,133094,853.25,435.15,56,18.64,101.37,435.15,1072
78,0175_01,Earth,TRUE,G/25/P,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Celis Benney,382,374,155148,814.25,401.4,56,18.48,101.36,430,1072
79,0175_02,Earth,,G/25/P,55 Cancri e,8,FALSE,0,0,0,0,0,Elody Benney,376,368,28731,879.4,396.05,56,18.31,101.36,396.05,1072
80,0175_03,Earth,TRUE,G/25/P,TRAPPIST-1e,3,FALSE,0,0,0,0,0,Leence Benney,369,366,41847,905.3,366.2,56,18.46,101.36,366.2,1072
81,0175_04,Earth,TRUE,G/25/P,TRAPPIST-1e,27,FALSE,0,0,0,0,0,Eulah Benney,377,371,140277,926.3,324.9,56,18.62,101.37,324.9,1072
82,0175_05,Earth,FALSE,G/25/P,TRAPPIST-1e,9,FALSE,0,0,0,0,0,Robyny Benney,375,373,27595,955.2,286,56,18.72,101.38,363.9,1169
83,0176_01,Earth,FALSE,F/39/P,PSO J318.5-22,29,FALSE,362,15,0,0,450,Sanya Stannondez,375,362,9078,874.9,374,56,18.81,101.38,403.2,1169
84,0180_01,Earth,FALSE,F/40/P,TRAPPIST-1e,18,FALSE,756,116,0,1,58,Ronia Kellynn,362,345,21586,891.2,435.45,56,19.04,101.38,451.6,1169
85,0184_01,Mars,FALSE,E/7/P,TRAPPIST-1e,22,FALSE,197,0,1175,0,0,Panter Gerry,352,346,4330,880,435,56,19.27,101.39,452.1,1169
86,0185_01,Mars,FALSE,F/37/S,TRAPPIST-1e,24,FALSE,6,11,1404,0,0,Alls Cooki,344,339,106761,886.1,424.95,56,19.36,101.4,459.9,1169
87,0187_01,Mars,TRUE,F/38/S,55 Cancri e,25,FALSE,0,0,0,0,0,Ranuts Kidne,351,349,137618,876.45,420,56,19.45,101.41,430,1169
88,0191_01,Earth,FALSE,F/39/S,TRAPPIST-1e,36,FALSE,261,0,206,465,0,Vanez Currisones,352,347,63161,870,391,56,19.42,101.42,395,1169
89,0194_01,Europa,TRUE,C/4/P,TRAPPIST-1e,14,FALSE,0,0,0,0,0,Ruchbia Extraly,347,345,34384,873.1,350.6,56,19.38,101.43,362,1104
90,0194_02,Europa,TRUE,C/4/P,55 Cancri e,24,FALSE,0,0,0,0,0,Algrafi Extraly,351,345,73431,810.5,330.1,55.92,19.33,101.44,346,1104
91,0194_03,Europa,FALSE,C/4/P,55 Cancri e,26,TRUE,0,275,0,4572,163,Polar Extraly,346,327,17125,821.4,350,55.85,19.28,101.44,390,1494
92,0204_01,Earth,FALSE,F/43/P,PSO J318.5-22,29,FALSE,1669,2,242,155,0,Gracy Goldendrice,327,315,109497,822.5,398.05,55.77,19.24,101.44,404,1494
93,0208_01,Earth,,G/33/P,TRAPPIST-1e,40,FALSE,44,0,565,0,18,Mael Vales,320,304,78366,824.95,375,55.69,19.19,101.45,414,1494
94,0209_01,Europa,FALSE,B/10/P,TRAPPIST-1e,36,,33,,0,12767,1193,Grasath Clindy,311,307,98190,819.35,380,55.62,19.26,101.46,458.55,1494
95,0214_01,Europa,FALSE,E/12/S,TRAPPIST-1e,46,FALSE,717,516,4,2,2439,Gorabba Pistage,318,316,125158,819.6,430,55.54,19.32,101.46,437.05,1494
96,0214_02,Europa,FALSE,E/12/S,TRAPPIST-1e,42,FALSE,4762,20,0,4,41,Genons Pistage,330,319,138570,830.25,390.1,55.46,19.6,101.46,430,1494
97,0215_01,Earth,TRUE,G/34/P,TRAPPIST-1e,23,FALSE,0,0,0,0,0,Jaimez Waterson,321,320,46445,823.85,411,55.38,19.89,101.46,445,1494
98,0218_01,Earth,FALSE,G/35/P,TRAPPIST-1e,19,FALSE,741,12,1,0,0,Jenne Alshipson,332,330,134739,806.6,430.05,55.31,20.28,101.46,438.75,1494
99,0226_01,Europa,FALSE,D/7/S,55 Cancri e,25,FALSE,3,3833,8098,1531,0,Brakis Matimple,334,321,96620,828.65,407.7,55.23,20.68,101.47,419.4,1494
100,0227_01,Earth,,,TRAPPIST-1e,22,FALSE,0,0,0,0,0,Kurta Buckentry,322,317,140797,865.4,413,55.15,21.21,101.48,424.1,1494
101,0228_01,Europa,TRUE,B/4/S,TRAPPIST-1e,35,FALSE,0,0,0,0,0,Azhasim Dompul,319,317,44017,876,421,55.08,21.74,101.49,433.25,1494
102,0228_02,Europa,FALSE,B/4/S,55 Cancri e,39,,0,25273,0,13,1714,Zedark Asharing,328,313,150342,897.55,440,55,22.44,101.49,440,1494
103,0228_03,Europa,TRUE,B/4/S,55 Cancri e,42,FALSE,0,0,0,0,0,Alurops Dompul,316,311,127529,924,420,54.92,23.13,101.49,436.5,1494
104,0228_04,Europa,FALSE,B/4/S,TRAPPIST-1e,35,FALSE,0,1442,0,1813,6439,Aviton Dompul,318,312,9261,938.35,440,54.85,23.76,101.49,453,1494
105,0230_01,Earth,TRUE,F/49/P,PSO J318.5-22,29,FALSE,0,0,0,0,0,Daisya Burksson,313,309,57905,946.6,453,54.77,24.4,101.5,471.5,454
106,0230_02,Earth,FALSE,F/49/P,TRAPPIST-1e,20,FALSE,786,0,0,0,,Ren Burksson,311,310,44699,926.3,465,54.69,25.04,101.5,482,454
107,0235_01,Earth,TRUE,G/40/P,TRAPPIST-1e,25,FALSE,0,0,0,0,0,Monard Hickerson,320,314,151853,933.7,485,54.62,25.67,101.51,515,454
108,0236_01,Mars,TRUE,F/51/P,TRAPPIST-1e,36,FALSE,0,0,0,0,0,Poloos Nutte,314,314,61613,935.8,514.25,54.54,26.3,101.52,566,454
109,0238_01,Mars,FALSE,D/7/P,TRAPPIST-1e,39,FALSE,2556,0,22,0,0,Set Chcak,315,281,120275,927.95,504,54.46,26.94,101.52,523.75,454
110,0247_01,Europa,TRUE,D/9/P,55 Cancri e,23,FALSE,0,0,0,0,0,Rasaleh Gulcepusy,281,258,23224,947.2,485.25,54.38,27.38,101.52,493,454
111,0247_02,Europa,TRUE,D/9/P,55 Cancri e,19,FALSE,0,0,0,0,0,Bath Gulcepusy,265,265,105331,943.95,462.25,54.31,27.83,101.52,488.1,454
112,0249_01,Earth,FALSE,G/41/P,TRAPPIST-1e,50,FALSE,0,0,78,751,78,Luise Prickmantes,275,273,23501,948.7,500,54.23,28.14,101.52,502,487
113,0256_01,Earth,FALSE,F/48/S,PSO J318.5-22,41,FALSE,0,0,728,0,0,Kerryn Bensley,286,283,7092,972.45,489,54.15,28.46,101.53,504,487
114,0259_01,Mars,FALSE,F/55/P,55 Cancri e,19,FALSE,1,0,2839,85,0,Fow Floaf,294,282,102136,984.2,501,54.08,28.94,101.54,508,487
115,0262_01,Earth,FALSE,G/39/S,TRAPPIST-1e,20,FALSE,186,0,0,602,100,,282,281,85772,1008.6,500,54,29.42,101.55,539,487
116,0264_01,Europa,TRUE,B/5/S,55 Cancri e,19,FALSE,0,0,0,0,0,Hasim Anindery,287,274,123288,1003.75,540.1,53.92,29.82,101.55,605,487
117,0264_02,Europa,TRUE,B/5/S,TRAPPIST-1e,38,FALSE,0,0,0,0,0,Okulus Anindery,275,265,76992,995.55,563,53.85,30.22,101.55,567.05,487
118,0264_03,Europa,FALSE,B/5/S,55 Cancri e,32,FALSE,1340,,0,8517,1256,Deneba Anindery,266,265,7715,977.4,550,53.77,30.54,101.55,568,487
119,0266_01,Mars,FALSE,E/12/P,TRAPPIST-1e,44,FALSE,696,0,462,46,94,Chtios Muff,267,220,29104,978.6,550,53.69,30.86,101.55,568,812
120,0266_02,Mars,FALSE,F/57/P,TRAPPIST-1e,18,FALSE,1542,0,138,0,0,Panzel Muff,224,172,144996,972.95,516,53.62,31.27,101.56,548,812
121,0268_01,Mars,FALSE,F/58/P,TRAPPIST-1e,49,FALSE,108,0,41,1560,0,Hony Nutca,177,177,94169,975.6,525,53.54,31.69,101.56,528.5,812
122,0268_02,Mars,FALSE,E/13/P,55 Cancri e,23,FALSE,3186,0,0,2,0,Libers Nutca,209,200,78261,951.8,520,53.46,32.1,101.56,538.4,649
123,0271_01,Earth,FALSE,G/44/P,TRAPPIST-1e,31,FALSE,41,334,1,62,484,Jilly Alfordonard,208,195,140902,964.8,531,53.38,32.51,101.57,540,779
124,0272_01,Mars,FALSE,D/10/P,TRAPPIST-1e,55,FALSE,1054,0,2,0,1,Gramus Graie,200,195,131845,991,530,53.31,32.93,101.58,540,779
125,0273_01,Mars,FALSE,F/60/P,TRAPPIST-1e,60,FALSE,60,0,7022,0,0,Wales Ste,211,207,1269,986.9,542.25,53.23,33.34,101.58,568.7,1072
126,0273_02,Mars,TRUE,F/60/P,TRAPPIST-1e,20,FALSE,0,0,0,0,0,Triesh Ste,213,205,43990,998.05,570,53.15,33.28,101.58,625.15,1072
127,0273_03,Mars,FALSE,E/14/P,TRAPPIST-1e,34,FALSE,301,0,79,919,0,Apench Ste,211,211,49875,999.55,586,53.08,33.23,101.59,596,1072
128,0274_01,Mars,FALSE,E/17/S,,14,FALSE,123,0,0,1936,22,Felios Melto,227,226,105070,998.25,575,53,33.62,101.58,603.75,1072
129,0274_02,Mars,TRUE,E/17/S,TRAPPIST-1e,26,FALSE,0,,0,0,,Bats Melto,234,225,93591,988.8,604.8,52.9,34.01,101.58,608,1072
130,0276_01,Europa,FALSE,B/6/S,55 Cancri e,19,FALSE,0,86,0,368,4055,Okula Pabler,233,230,73077,987.95,601,52.79,34.36,101.58,607.5,1072
131,0276_02,Europa,TRUE,B/6/S,TRAPPIST-1e,25,FALSE,0,0,0,0,0,Zedark Pabler,247,244,94548,989.3,590,52.69,34.71,101.58,596.4,1072
132,0279_01,Earth,FALSE,F/62/P,55 Cancri e,42,FALSE,98,10,0,613,0,Arllia Conleydenan,254,254,151956,991.9,531.25,52.59,35.04,101.57,562,1137
133,0280_01,Earth,FALSE,F/53/S,TRAPPIST-1e,18,FALSE,212,678,12,0,0,Andyn Mcfaddoxter,273,251,60864,1031.85,560,52.49,35.37,101.56,565,1137
134,0284_01,Mars,FALSE,E/15/P,TRAPPIST-1e,50,FALSE,0,0,1299,0,0,Cers Datie,263,227,102790,1035.65,561,52.38,35.04,101.56,570.05,1137
135,0292_01,Earth,FALSE,F/56/S,TRAPPIST-1e,26,FALSE,0,,0,1079,281,Jillie Chardsonnon,233,221,53315,1044.7,571.25,52.28,34.71,101.55,586.75,1137
136,0293_01,Europa,TRUE,,TRAPPIST-1e,47,FALSE,0,0,0,0,0,Tauxon Suptibler,233,226,116723,1109.2,580.05,52.18,35.13,101.55,587,1137
137,0295_01,Earth,FALSE,F/66/P,PSO J318.5-22,35,FALSE,,627,0,44,0,Guyl Hardley,226,216,49288,1108.9,576,52.08,35.55,101.55,580.3,1137
138,0296_01,Mars,FALSE,F/57/S,55 Cancri e,58,FALSE,73,0,422,978,0,Kohs Cort,217,212,145513,1099.5,565,51.97,35.55,101.54,581,1137
139,0299_01,Earth,FALSE,F/58/S,55 Cancri e,20,FALSE,376,0,242,1,0,Dellia Hickett,226,223,148513,1103,587,51.87,35.55,101.54,596,844
140,0300_01,Europa,FALSE,D/11/P,TRAPPIST-1e,28,FALSE,5,11549,132,4966,524,Mahamak Ofracculy,237,224,74741,1118.65,550.1,51.77,36,101.54,568.6,1299
141,0308_01,Earth,TRUE,G/48/P,PSO J318.5-22,12,FALSE,,0,0,0,0,,228,221,104234,1139.85,533.2,51.67,36.46,101.54,616.55,942
142,0311_01,Earth,FALSE,E/17/P,55 Cancri e,20,FALSE,,0,0,10,0,Coreen Simmonders,228,215,34715,1149.1,597,51.56,36.39,101.54,603,487
143,0312_01,Earth,TRUE,G/49/P,TRAPPIST-1e,22,FALSE,0,0,0,0,0,Adrie Hoffergess,217,216,107457,1010.65,590,51.46,36.33,101.53,605.05,779
144,0317_01,Earth,FALSE,G/43/S,TRAPPIST-1e,31,FALSE,0,34,81,0,608,Philda Medington,223,223,156016,1037.35,598,51.36,36.33,101.52,604.9,1364
145,0318_01,Earth,TRUE,G/52/P,PSO J318.5-22,24,FALSE,0,0,0,0,0,Robyna Solon,228,221,93879,1027.8,595,51.26,36.32,101.51,605.25,1299
146,0319_01,Mars,FALSE,E/18/P,TRAPPIST-1e,17,FALSE,1031,0,1026,42,0,Ranats Prie,223,217,121139,1029.7,580,51.15,36.32,101.5,599.9,617
147,0319_02,Mars,TRUE,F/69/P,55 Cancri e,,FALSE,0,0,0,0,0,Pigars Prie,220,215,99283,948.95,578.1,51.05,36.31,101.49,595,649
148,0323_01,Earth,TRUE,,55 Cancri e,18,FALSE,0,0,0,0,0,Joyn Gaineyerson,220,218,140934,967.85,586,50.95,36.53,101.48,588.3,779
149,0325_01,Earth,FALSE,G/54/P,TRAPPIST-1e,48,,,755,0,0,0,Searla Mccarveymon,219,218,70585,961.6,585,50.85,36.76,101.47,595.1,1039
150,0328_01,Earth,FALSE,F/71/P,TRAPPIST-1e,38,FALSE,3,1252,1,0,0,Verney Singtons,222,221,84834,945.65,586.15,50.74,37.06,101.46,594.9,454
151,0329_01,Europa,TRUE,B/14/P,55 Cancri e,33,,0,0,0,0,0,Iononus Rewmid,236,236,70098,917.2,583,50.64,37.36,101.46,593.95,909
152,0332_01,Earth,TRUE,G/55/P,TRAPPIST-1e,20,FALSE,0,0,0,0,0,Shany Pooles,258,228,140809,930.15,588,50.54,37.69,101.45,596.5,779
153,0335_01,Mars,FALSE,E/20/S,TRAPPIST-1e,22,,0,0,0,0,0,Rionk Coff,235,229,131560,915.65,591,50.44,38.02,101.44,601.95,487
